id,name,address,city,state,zipCode,phone,email,website,category,openingHours/monday,openingHours/tuesday,openingHours/wednesday,openingHours/thursday,openingHours/friday,openingHours/saturday,openingHours/sunday
1,Loja do João,"Rua das Flores, 123",São Paulo,SP,01001-000,(11) 1234-5678,contato@lojadojoao.com.br,http://www.lojadojoao.com.br,Roupas,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
2,Supermercado Silva,"Avenida Brasil, 456",Rio de Janeiro,RJ,22020-000,(21) 2345-6789,atendimento@supermercadosilva.com.br,,Supermercado,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-18:00,08:00-12:00
3,Padaria Pão Doce,"Rua do Pão, 789",Belo Horizonte,MG,31010-000,(31) 3456-7890,contato@padoariaopaodoce.com.br,,Padaria,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-18:00,06:00-12:00
4,Eletrônicos Tech,"Rua da Tecnologia, 321",Curitiba,PR,80010-000,(41) 4567-8901,suporte@eletronicostech.com.br,http://www.eletronicostech.com.br,Eletrônicos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-16:00,Fechado
5,Livraria do Saber,"Avenida do Conhecimento, 654",Porto Alegre,RS,90010-000,(51) 5678-9012,vendas@livrariadosaber.com.br,http://www.livrariadosaber.com.br,Livraria,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-16:00,Fechado
6,Moda Fashion,"Rua da Moda, 112",Fortaleza,CE,60000-000,(85) 1234-5678,contato@modafashion.com.br,,Roupas,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
7,Casa e Construção,"Avenida da Construção, 321",Salvador,BA,40000-000,(71) 2345-6789,contato@casaeconstrucao.com.br,,Materiais de Construção,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-12:00,Fechado
8,Moda Jovem,"Rua da Moda, 101",Salvador,BA,40010-000,(71) 1234-5678,contato@modajovem.com.br,,Roupas,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
9,Mercado do Povo,"Avenida Central, 202",Fortaleza,CE,60020-000,(85) 2345-6789,atendimento@mercadodopovo.com.br,,Supermercado,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-18:00,08:00-12:00
10,Padaria Central,"Rua dos Pães, 303",Recife,PE,50030-000,(81) 3456-7890,contato@padariacentral.com.br,,Padaria,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-18:00,06:00-12:00
11,EletroShop,"Avenida das Indústrias, 404",Manaus,AM,69040-000,(92) 4567-8901,suporte@eletroshop.com.br,http://www.eletroshop.com.br,Eletrônicos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-16:00,Fechado
12,Livraria Cultura,"Rua dos Livros, 505",Curitiba,PR,80050-000,(41) 5678-9012,vendas@livrariacultura.com.br,http://www.livrariacultura.com.br,Livraria,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-16:00,Fechado
13,Loja de Brinquedos Alegria,"Avenida das Crianças, 606",Porto Alegre,RS,90060-000,(51) 6789-0123,contato@brinquedosalegria.com.br,http://www.brinquedosalegria.com.br,Brinquedos,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-14:00,Fechado
14,Farmácia Popular,"Rua da Saúde, 707",Florianópolis,SC,88070-000,(48) 7890-1234,atendimento@farmaciapopular.com.br,,Farmácia,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-18:00,08:00-12:00
